player_id,session_id,bet_id,timestamp,game_type,bet_amount,win_amount,is_win,bonus_used,rtp_group
1,1,1,2025-08-28 14:44:18,slot,39.74,0.0,0,0,A
1,1,2,2025-08-28 14:57:18,roulette,87.58,238.74,1,1,A
1,1,3,2025-08-28 14:07:18,sport,20.82,0.0,0,1,A
1,1,4,2025-08-28 14:30:18,sport,13.84,40.94,1,0,A
1,1,5,2025-08-28 13:54:18,slot,70.97,0.0,0,1,A
1,1,6,2025-08-28 13:46:18,roulette,79.27,0.0,0,1,A
1,1,7,2025-08-28 14:41:18,roulette,1.73,4.59,1,0,A
1,1,8,2025-08-28 13:15:18,sport,81.31,0.0,0,0,A
1,1,9,2025-08-28 14:23:18,sport,58.49,130.0,1,0,A
1,1,10,2025-08-28 13:26:18,sport,66.82,0.0,0,0,A
1,1,11,2025-08-28 14:16:18,slot,99.27,0.0,0,0,A
1,1,12,2025-08-28 13:45:18,slot,90.62,228.04,1,0,A
1,1,13,2025-08-28 13:14:18,sport,56.08,0.0,0,1,A
1,1,14,2025-08-28 14:52:18,slot,27.17,43.51,1,1,A
1,1,15,2025-08-28 14:30:18,roulette,19.49,0.0,0,0,A
1,1,16,2025-08-28 14:52:18,sport,98.48,0.0,0,0,A
1,1,17,2025-08-28 13:46:18,sport,45.49,85.96,1,0,A
1,1,18,2025-08-28 14:14:18,slot,1.74,3.63,1,0,A
1,1,19,2025-08-28 13:59:18,slot,4.08,6.13,1,0,A
1,1,20,2025-08-28 13:35:18,roulette,48.92,0.0,0,0,A
1,1,21,2025-08-28 13:36:18,sport,58.51,0.0,0,0,A
1,1,22,2025-08-28 14:15:18,roulette,31.78,0.0,0,0,A
1,1,23,2025-08-28 13:14:18,slot,5.12,0.0,0,0,A
1,1,24,2025-08-28 13:37:18,roulette,3.33,8.21,1,0,A
1,2,25,2025-06-28 13:32:18,sport,37.85,102.86,1,0,A
1,2,26,2025-06-28 13:28:18,roulette,23.02,0.0,0,0,A
1,2,27,2025-06-28 13:48:18,sport,24.53,59.39,1,1,A
1,2,28,2025-06-28 13:53:18,roulette,31.98,0.0,0,0,A
1,2,29,2025-06-28 14:32:18,roulette,35.71,0.0,0,1,A
1,2,30,2025-06-28 14:49:18,sport,46.49,105.51,1,0,A
1,2,31,2025-06-28 14:07:18,sport,85.43,132.55,1,1,A
1,2,32,2025-06-28 14:56:18,slot,87.84,251.66,1,0,A
1,3,33,2025-08-16 13:26:18,roulette,5.06,0.0,0,1,B
1,3,34,2025-08-16 13:38:18,slot,60.71,0.0,0,0,B
1,3,35,2025-08-16 13:57:18,roulette,49.39,88.85,1,0,B
1,3,36,2025-08-16 13:06:18,sport,33.68,71.2,1,1,B
1,3,37,2025-08-16 13:44:18,sport,30.13,86.69,1,0,B
1,3,38,2025-08-16 14:58:18,slot,63.57,0.0,0,1,B
1,3,39,2025-08-16 13:26:18,roulette,65.48,123.08,1,1,B
1,3,40,2025-08-16 13:07:18,slot,73.82,139.94,1,0,B
1,3,41,2025-08-16 14:07:18,roulette,25.19,0.0,0,1,B
1,3,42,2025-08-16 13:54:18,slot,93.66,277.25,1,0,B
1,3,43,2025-08-16 14:11:18,sport,93.69,173.47,1,0,B
1,3,44,2025-08-16 14:35:18,sport,50.83,0.0,0,1,B
1,3,45,2025-08-16 14:56:18,roulette,14.39,38.37,1,0,B
1,3,46,2025-08-16 13:45:18,roulette,24.55,0.0,0,1,B
1,3,47,2025-08-16 14:49:18,slot,55.6,121.24,1,0,B
1,3,48,2025-08-16 13:33:18,roulette,31.32,0.0,0,1,B
1,3,49,2025-08-16 13:41:18,sport,24.7,0.0,0,0,B
1,3,50,2025-08-16 14:05:18,roulette,28.72,70.4,1,0,B
1,3,51,2025-08-16 13:12:18,sport,31.59,57.17,1,1,B
1,3,52,2025-08-16 14:49:18,sport,93.07,169.34,1,0,B
1,3,53,2025-08-16 14:17:18,slot,81.52,0.0,0,0,B
1,3,54,2025-08-16 13:20:18,sport,60.65,0.0,0,0,B
1,3,55,2025-08-16 14:27:18,roulette,70.69,0.0,0,1,B
1,3,56,2025-08-16 14:46:18,sport,7.92,0.0,0,0,B
1,3,57,2025-08-16 14:18:18,roulette,54.74,146.68,1,0,B
1,3,58,2025-08-16 13:23:18,slot,85.19,164.7,1,0,B
1,3,59,2025-08-16 13:10:18,sport,11.13,0.0,0,1,B
1,4,60,2025-11-26 14:40:18,roulette,28.19,0.0,0,0,A
1,4,61,2025-11-26 13:15:18,sport,56.08,0.0,0,0,A
1,4,62,2025-11-26 13:28:18,roulette,84.09,177.06,1,0,A
1,4,63,2025-11-26 13:51:18,sport,25.27,65.46,1,0,A
1,4,64,2025-11-26 14:58:18,roulette,46.31,0.0,0,0,A
1,4,65,2025-11-26 14:55:18,slot,70.56,172.78,1,0,A
1,4,66,2025-11-26 13:05:18,roulette,60.52,148.84,1,0,A
1,4,67,2025-11-26 14:45:18,slot,47.05,123.17,1,0,A
1,4,68,2025-11-26 13:31:18,slot,43.45,127.74,1,0,A
1,4,69,2025-11-26 13:01:18,sport,32.35,0.0,0,0,A
1,4,70,2025-11-26 14:03:18,slot,80.21,217.18,1,0,A
1,4,71,2025-11-26 13:31:18,slot,19.33,53.06,1,1,A
1,4,72,2025-11-26 14:02:18,roulette,38.53,73.26,1,0,A
1,4,73,2025-11-26 14:56:18,roulette,74.15,0.0,0,1,A
1,4,74,2025-11-26 13:28:18,roulette,95.59,0.0,0,0,A
1,4,75,2025-11-26 13:15:18,slot,3.05,0.0,0,0,A
